kanji,kana,prefecture,level,description,hoge,fuga,hint
麻生田,おうだ,三重県,1,近鉄北勢線,2017-02-02 14:44:56.101882,2017-02-02 14:44:56.101882,1
漕代,こいしろ,三重県,1,近鉄山田線,2017-02-02 14:44:56.119242,2017-02-02 14:44:56.119242,1
新居,にい,三重県,1,近鉄伊賀線,2017-02-02 14:44:56.131384,2017-02-02 14:44:56.131384,1
丹生川,にゅうがわ,三重県,1,三岐鉄道,2017-02-02 14:44:56.143676,2017-02-02 14:44:56.143676,1
唐崎,からさき,滋賀県,1,近江八景のひとつ。,2017-02-02 14:44:56.158841,2017-02-02 14:44:56.158841,1
貴生川,きぶかわ,滋賀県,1,草津線,2017-02-02 14:44:56.16466,2017-02-02 14:44:56.16466,1
醒ケ井,さめがい,滋賀県,1,東海道本線,2017-02-02 14:44:56.168942,2017-02-02 14:44:56.168942,1
天橋立,あまのはしだて,京都府,1,日本三景のひとつ。,2017-02-02 14:44:56.185153,2017-02-02 14:44:56.185153,1
安栖里,あせり,京都府,1,山陰本線,2017-02-02 14:44:56.214533,2017-02-02 14:44:56.214533,1
新祝園,しんほうその,京都府,1,近鉄京都線,2017-02-02 14:44:56.227905,2017-02-02 14:44:56.227905,1
椥辻,なぎつじ,京都府,1,京都市営地下鉄東西線,2017-02-02 14:44:56.233574,2017-02-02 14:44:56.233574,1
向日町,むこうまち,京都府,1,東海道本線,2017-02-02 14:44:56.24101,2017-02-02 14:44:56.24101,1
天満,てんま,大阪府,1,天満宮がある。,2017-02-02 14:44:56.255182,2017-02-02 14:44:56.255182,1
萱島,かやしま,大阪府,1,京阪本線,2017-02-02 14:44:56.267596,2017-02-02 14:44:56.267596,1
孝子,きょうし,大阪府,1,南海本線,2017-02-02 14:44:56.287998,2017-02-02 14:44:56.287998,1
樟葉,くずは,大阪府,1,京阪本線,2017-02-02 14:44:56.29796,2017-02-02 14:44:56.29796,1
郡津,こうづ,大阪府,1,京阪交野線,2017-02-02 14:44:56.328694,2017-02-02 14:44:56.328694,1
近義の里,こぎのさと,大阪府,1,水間鉄道,2017-02-02 14:44:56.334974,2017-02-02 14:44:56.334974,1
住道,すみのどう,大阪府,1,片町線,2017-02-02 14:44:56.360726,2017-02-02 14:44:56.360726,1
摂津富田,せっつとんだ,大阪府,1,東海道本線,2017-02-02 14:44:56.36458,2017-02-02 14:44:56.36458,1
淡輪,たんのわ,大阪府,1,南海本線,2017-02-02 14:44:56.370839,2017-02-02 14:44:56.370839,1
枚岡,ひらおか,大阪府,1,近鉄奈良線,2017-02-02 14:44:56.423822,2017-02-02 14:44:56.423822,1
弥刀,みと,大阪府,1,近鉄大阪線,2017-02-02 14:44:56.469941,2017-02-02 14:44:56.469941,1
城崎,きのさき,兵庫県,1,歴史的な名湯。,2017-02-02 14:44:56.486107,2017-02-02 14:44:56.486107,1
門崎,とざき,兵庫県,1,鳴門観潮の名所。,2017-02-02 14:44:56.50386,2017-02-02 14:44:56.50386,1
網干,あぼし,兵庫県,1,山陽本線,2017-02-02 14:44:56.538746,2017-02-02 14:44:56.538746,1
枚方,ひらかた,大阪府,2,もと京街道の宿場町。,2017-02-02 14:44:56.25956,2017-02-02 15:09:14.730242,1
私市,きさいち,大阪府,3,京阪交野（かたの）線,2017-02-02 14:44:56.276523,2017-02-02 15:09:28.168002,1
柴島,くにじま,大阪府,2,阪急千里線,2017-02-02 14:44:56.317982,2017-02-02 15:09:41.80721,1
布忍,ぬのせ,大阪府,3,近鉄南大阪線,2017-02-02 14:44:56.377966,2017-02-14 13:16:25.246979,1
栄生,さこう,愛知県,4,名鉄名古屋本線,2017-02-02 14:44:55.926976,2017-02-08 09:54:58.297603,1
枝下,しだれ,愛知県,3,名鉄三河線,2017-02-02 14:44:55.940018,2017-02-08 09:55:08.743852,1
巽ヶ丘,たつみがおか,愛知県,2,名鉄河和線,2017-02-02 14:44:55.961831,2017-02-08 09:55:22.699634,1
成岩,ならわ,愛知県,3,名鉄河和線,2017-02-02 14:44:55.972058,2017-02-08 09:55:43.54358,1
二ツ杁,ふたついり,愛知県,2,名鉄名古屋本線,2017-02-02 14:44:55.994133,2017-02-08 09:55:52.40336,1
呼読,よびつぎ,愛知県,2,名鉄名古屋本線,2017-02-02 14:44:56.009308,2017-02-08 09:56:03.806178,1
英虞湾,あごわん,三重県,4,リアス式海岸。,2017-02-02 14:44:56.013134,2017-02-08 09:56:18.042738,1
朝熊,あさま,三重県,2,近鉄鳥羽線,2017-02-02 14:44:56.046581,2017-02-08 09:56:41.511745,1
穴太,あのう,三重県,3,近鉄北勢線,2017-02-02 14:44:56.083547,2017-02-08 09:56:52.909163,1
相可,おうか,三重県,2,紀勢本線,2017-02-02 14:44:56.098082,2017-02-08 09:57:26.649569,1
河曲,かわの,三重県,3,関西本線,2017-02-02 14:44:56.109226,2017-02-08 09:57:37.128368,1
柘植,つげ,三重県,4,関西本線,2017-02-02 14:44:56.123227,2017-02-08 09:57:49.971584,1
太秦,うずまさ,京都府,4,映画撮影所がある。,2017-02-02 14:44:56.189492,2017-02-08 09:58:22.675753,1
香落渓,こおちだに,三重県,2,名張（なばり）川支流の渓谷。,2017-02-02 14:44:56.025859,2017-02-14 13:12:07.849491,1
海山道,みやまど,三重県,3,近鉄名古屋線,2017-02-02 14:44:56.148446,2017-02-14 13:12:50.944465,1
鎌掛谷,かいがけだに,滋賀県,2,シャクナゲが有名。,2017-02-02 14:44:56.154214,2017-02-14 13:13:04.313757,1
膳所,ぜぜ,滋賀県,4,東海道本線,2017-02-02 14:44:56.17254,2017-02-14 13:13:28.124246,1
和爾,わに,滋賀県,3,湖西（こせい）線,2017-02-02 14:44:56.180918,2017-02-14 13:13:42.73252,1
栂尾,とがのお,京都府,2,紅葉の名所。,2017-02-02 14:44:56.210221,2017-02-14 13:14:12.577367,1
黄檗,おうばく,京都府,2,奈良線,2017-02-02 14:44:56.218552,2017-02-14 13:14:25.072309,1
御陵,みささぎ,京都府,4,京阪京津線,2017-02-02 14:44:56.237217,2017-02-14 13:14:50.842513,1
河堀口,こぼれぐち,大阪府,4,近鉄南大阪線,2017-02-02 14:44:56.339924,2017-02-14 13:15:43.457914,1
土師ノ里,はじのさと,大阪府,2,近鉄南大阪線,2017-02-02 14:44:56.383735,2017-02-14 13:16:38.825413,1
鴫野,しぎの,大阪府,2,片町（かたまち）線,2017-02-02 14:44:56.348021,2017-02-14 13:16:50.676084,1
放出,はなてん,大阪府,4,片町線。「ほうしゅつ」なのに「はなてん」！,2017-02-02 14:44:56.404916,2017-02-14 13:17:03.626102,1
御幣島,みてじま,大阪府,2,東西線,2017-02-02 14:44:56.453683,2017-02-14 13:17:14.811072,1
再度山,ふたたびさん,兵庫県,3,紅葉の名所。,2017-02-02 14:44:56.525121,2017-02-14 13:17:40.00356,1
英賀保,あがほ,兵庫県,2,山陽本線,2017-02-02 14:44:56.534869,2017-02-14 13:17:52.939647,1
石生,いそう,兵庫県,3,福知山線,2017-02-02 14:44:56.542584,2017-02-14 13:18:03.020029,1
国包,くにかね,兵庫県,3,三木鉄道,2017-02-02 14:44:56.5472,2017-02-14 13:18:16.268932,1
大物,だいもつ,兵庫県,1,阪神本線,2017-02-02 14:44:56.574006,2017-02-02 14:44:56.574006,1
垂水,たるみ,兵庫県,1,山陽本線,2017-02-02 14:44:56.582898,2017-02-02 14:44:56.582898,1
西這田,にしほうだ,兵庫県,1,三木鉄道,2017-02-02 14:44:56.601293,2017-02-02 14:44:56.601293,1
石見,いわみ,奈良県,1,近鉄橿原（かしはら）線,2017-02-02 14:44:56.732828,2017-02-02 14:44:56.732828,1
浮孔,うきあな,奈良県,1,近鉄南大阪線,2017-02-02 14:44:56.743564,2017-02-02 14:44:56.743564,1
上狛,かみこま,奈良県,1,奈良線,2017-02-02 14:44:56.798228,2017-02-02 14:44:56.798228,1
志都美,しずみ,奈良県,1,和歌山線,2017-02-02 14:44:56.822166,2017-02-02 14:44:56.822166,1
白良浜,しららはま,和歌山県,1,白浜の古称。温泉地。,2017-02-02 14:44:56.862099,2017-02-02 14:44:56.862099,1
伊太祈曽,いだきそ,和歌山県,1,南海貴志川線,2017-02-02 14:44:56.905985,2017-02-02 14:44:56.905985,1
笠田,かせだ,和歌山県,1,和歌山線,2017-02-02 14:44:56.920573,2017-02-02 14:44:56.920573,1
冷水浦,しみずうら,和歌山県,1,紀勢本線,2017-02-02 14:44:56.94409,2017-02-02 14:44:56.94409,1
隅田,すだ,和歌山県,1,和歌山線,2017-02-02 14:44:56.959601,2017-02-02 14:44:56.959601,1
布施屋,ほしや,和歌山県,1,和歌山本線,2017-02-02 14:44:56.977037,2017-02-02 14:44:56.977037,1
見老津,みろづ,和歌山県,1,紀勢本線,2017-02-02 14:44:56.980052,2017-02-02 14:44:56.980052,1
大山,だいせん,鳥取県,1,中国地方の最高峰。,2017-02-02 14:44:56.996928,2017-02-02 14:44:56.996928,1
白兎,はくと,鳥取県,1,神話伝承の浜。,2017-02-02 14:44:57.001824,2017-02-02 14:44:57.001824,1
郡家,こおげ,鳥取県,1,因美線・若桜鉄道,2017-02-02 14:44:57.017573,2017-02-02 14:44:57.017573,1
土師,はじ,鳥取県,1,因美線,2017-02-02 14:44:57.021971,2017-02-02 14:44:57.021971,1
御来屋,みくりや,鳥取県,1,山陽本線,2017-02-02 14:44:57.025223,2017-02-02 14:44:57.025223,1
立久恵峡,たちくえきょう,島根県,1,奇岩と紅葉の名所。,2017-02-02 14:44:57.046562,2017-02-02 14:44:57.046562,1
日御碕,ひのみさき,島根県,1,ウミネコ繁殖の浜。,2017-02-02 14:44:57.05913,2017-02-02 14:44:57.05913,1
三度崎,みたべさき,島根県,1,隠岐（おき）の海食崖。,2017-02-02 14:44:57.06818,2017-02-02 14:44:57.06818,1
乙原,おんばら,島根県,1,三江線,2017-02-02 14:44:57.083393,2017-02-02 14:44:57.083393,1
江平,ごうびら,島根県,1,三江線,2017-02-02 14:44:57.097593,2017-02-02 14:44:57.097593,1
周布,すふ,島根県,1,山陽本線,2017-02-02 14:44:57.111953,2017-02-02 14:44:57.111953,1
磐窟渓,いわやだに,岡山県,1,紅葉の名勝地。,2017-02-02 14:44:57.122809,2017-02-02 14:44:57.122809,1
伊部,いんべ,岡山県,1,赤穂（あこう）線,2017-02-02 14:44:57.177322,2017-02-02 14:44:57.177322,1
丹治部,たじべ,岡山県,1,姫新線,2017-02-02 14:44:57.212846,2017-02-02 14:44:57.212846,1
生口島,いくちじま,広島県,1,国立公園内の島。,2017-02-02 14:44:57.253206,2017-02-02 14:44:57.253206,1
飾磨,しかま,兵庫県,4,三陽電鉄本線,2017-02-02 14:44:56.551942,2017-02-14 13:18:35.941777,1
夙川,しゅくがわ,兵庫県,3,阪急神戸本線,2017-02-02 14:44:56.556169,2017-02-14 13:18:45.600623,1
東觜崎,ひがしはしさき,兵庫県,2,姫新（きしん）線,2017-02-02 14:44:56.61139,2017-02-14 13:19:09.07077,1
鵯越,ひよどりごえ,兵庫県,3,神戸電鉄有馬線,2017-02-02 14:44:56.626691,2017-02-14 13:20:08.23176,1
妻鹿,めが,兵庫県,3,山陽電鉄本線,2017-02-02 14:44:56.635504,2017-02-14 13:19:30.803427,1
売布神社,めふじんじゃ,兵庫県,2,阪急宝塚本線,2017-02-02 14:44:56.646049,2017-02-14 13:20:19.800023,1
賀名生,あのう,奈良県,4,梅が有名。,2017-02-02 14:44:56.655456,2017-02-14 13:20:37.496934,1
斑鳩,いかるが,奈良県,4,法隆寺など古寺が多い。,2017-02-02 14:44:56.664417,2017-02-14 13:20:51.043251,1
入之波,しおのは,奈良県,4,大迫（おおさこ）ダム湖畔の湯。,2017-02-02 14:44:56.673686,2017-02-14 13:21:12.866207,1
大蛇嵓,だいじゃぐら,奈良県,2,大台ヶ原（おおだいがはら）の絶壁。,2017-02-02 14:44:56.686075,2017-02-14 13:21:30.15524,1
多武峰,とうのみね,奈良県,3, 桜・紅葉の名所。,2017-02-02 14:44:56.702067,2017-02-14 13:21:41.893783,1
櫟本,いちのもと,奈良県,2,桜井線,2017-02-02 14:44:56.714018,2017-02-14 13:21:52.374275,1
畝傍,うねび,奈良県,2,桜井線,2017-02-02 14:44:56.760676,2017-02-14 13:22:01.879423,1
忍海,おしみ,奈良県,2,近鉄御所線,2017-02-02 14:44:56.780676,2017-02-14 13:22:11.636144,1
御所,ごせ,奈良県,2,和歌山線,2017-02-02 14:44:56.809413,2017-02-14 13:22:21.425456,1
掖上,わきがみ,奈良県,2,和歌山線,2017-02-02 14:44:56.853335,2017-02-14 13:22:37.765033,1
瀞峡,どろきょう,和歌山県,3,北山川の渓谷。,2017-02-02 14:44:56.875194,2017-02-14 13:22:48.085507,1
朝来,あっそ,和歌山県,4,紀勢（きせい）本線,2017-02-02 14:44:56.894485,2017-02-14 13:22:59.168857,1
竈山,かまやま,和歌山県,2,南海貴志川線,2017-02-02 14:44:56.931343,2017-02-14 13:24:02.080883,1
学文路,かむろ,和歌山県,4,南海高野線,2017-02-02 14:44:56.93531,2017-02-14 13:24:15.880609,1
周参見,すさみ,和歌山県,3,紀勢本線,2017-02-02 14:44:56.949186,2017-02-14 13:24:30.20598,1
千旦,せんだ,和歌山県,2,和歌山線,2017-02-02 14:44:56.963441,2017-02-14 13:24:49.158484,1
中飯降,なかいぶり,和歌山県,2,和歌山線,2017-02-02 14:44:56.969217,2017-02-14 13:24:58.542211,1
芳養,はや,和歌山県,2,紀勢本線,2017-02-02 14:44:56.973749,2017-02-14 13:25:05.885728,1
六十谷,むそた,和歌山県,3,阪和（はんわ）線,2017-02-02 14:44:56.986211,2017-02-14 13:25:25.464513,1
皆生,かいけ,鳥取県,2,海浜の温泉。,2017-02-02 14:44:56.992336,2017-02-14 13:25:42.246909,1
三朝,みささ,鳥取県,2,渓流沿いの温泉。,2017-02-02 14:44:57.009753,2017-02-14 13:26:04.659333,1
国英,くにふさ,鳥取県,2,因美（いんび）線,2017-02-02 14:44:57.013677,2017-02-14 13:27:13.69671,1
潜戸鼻,くけどばな,島根県,2,浸食海岸。,2017-02-02 14:44:57.037343,2017-02-14 13:27:30.445287,1
蟠竜湖,ばんりゅうこ,島根県,2,砂でせき止められた湖。,2017-02-02 14:44:57.052392,2017-02-14 13:27:40.988038,1
美作,みまさか,岡山県,3,温泉が有名。,2017-02-02 14:44:57.139146,2017-02-14 13:28:14.257613,1
揖屋,いや,島根県,2,山陽本線,2017-02-02 14:44:57.077289,2017-02-14 13:28:25.514602,1
鷲羽山,わしゅうざん,岡山県,2,瀬戸内海を一望する。,2017-02-02 14:44:57.158992,2017-02-14 13:28:40.418976,1
石蟹,いしが,岡山県,2,伯備（はくび）線,2017-02-02 14:44:57.164367,2017-02-14 13:28:52.014553,1
刑部,おさかべ,岡山県,4,姫新（きしん）線,2017-02-02 14:44:57.192886,2017-02-14 13:53:17.510181,1
香登,かがと,岡山県,2,赤穂線,2017-02-02 14:44:57.203113,2017-02-14 13:53:34.954989,1
迫川,はざかわ,岡山県,2,宇野線,2017-02-02 14:44:57.227432,2017-02-14 13:53:47.621181,1
弓削,ゆげ,岡山県,2,津山線,2017-02-02 14:44:57.237988,2017-02-14 13:53:56.601192,1
南原峡,なばらきょう,広島県,1,花崗岩の渓谷。,2017-02-02 14:44:57.270672,2017-02-02 14:44:57.270672,1
比婆山,ひばやま,広島県,1,ブナの純林がある。,2017-02-02 14:44:57.288685,2017-02-02 14:44:57.288685,1
忠海,ただのうみ,広島県,1,呉（くれ）線,2017-02-02 14:44:57.367958,2017-02-02 14:44:57.367958,1
六連島,むつれじま,山口県,1,雲母玄武岩の産地。,2017-02-02 14:44:57.484559,2017-02-02 14:44:57.484559,1
厚東,ことう,山口県,1,山陽本線,2017-02-02 14:44:57.516719,2017-02-02 14:44:57.516719,1
戸田,へた,山口県,1,山陽本線,2017-02-02 14:44:57.546233,2017-02-02 14:44:57.546233,1
祖谷渓,いやけい,徳島県,1,日本三大秘境。,2017-02-02 14:44:57.557214,2017-02-02 14:44:57.557214,1
紫雲出山,しうでやま,香川県,1,円錐状の山。,2017-02-02 14:44:57.661964,2017-02-02 14:44:57.661964,1
鬼無,きなし,香川県,1,予讃（よさん）線,2017-02-02 14:44:57.689903,2017-02-02 14:44:57.689903,1
浅海,あさなみ,愛媛県,1,予讃（よさん）線,2017-02-02 14:44:57.712788,2017-02-02 14:44:57.712788,1
伊予寒川,いよさんがわ,愛媛県,1,予讃線,2017-02-02 14:44:57.739971,2017-02-02 14:44:57.739971,1
壬生川,にゅうがわ,愛媛県,1,予讃線,2017-02-02 14:44:57.743943,2017-02-02 14:44:57.743943,1
四万十川,しまんとがわ,高知県,1,清流として有名。,2017-02-02 14:44:57.748886,2017-02-02 14:44:57.748886,1
土佐一宮,とさいっく,高知県,1,土讃線。○語能力検定みたいな感。,2017-02-02 14:44:57.789265,2017-02-02 14:44:57.789265,1
半家,はげ,高知県,1,予土（よど）線。キラリと光る名前の駅ですね。,2017-02-02 14:44:57.793453,2017-02-02 14:44:57.793453,1
芥屋ノ大戸,けやのおおと,福岡県,1,海食洞。,2017-02-02 14:44:57.798107,2017-02-02 14:44:57.798107,1
英彦山,ひこさん,福岡県,1,山伏（やまぶし）の修験道場。,2017-02-02 14:44:57.802193,2017-02-02 14:44:57.802193,1
海老津,えびつ,福岡県,1,鹿児島本線,2017-02-02 14:44:57.832363,2017-02-02 14:44:57.832363,1
苅田,かんだ,福岡県,1,日豊（にっぽう）本線,2017-02-02 14:44:57.84699,2017-02-02 14:44:57.84699,1
背振山,せふりさん,佐賀県,1,背振山地の主峰。,2017-02-02 14:44:57.914296,2017-02-02 14:44:57.914296,1
厳島,いつくしま,広島県,2,日本三景のひとつ。,2017-02-02 14:44:57.262119,2017-02-14 13:54:13.142809,1
胡町,えびすちょう,広島県,3,広島電鉄本線,2017-02-02 14:44:57.313333,2017-02-14 13:54:26.355612,1
銀山町,かなやまちょう,広島県,3,広島電鉄本線,2017-02-02 14:44:57.325178,2017-02-14 13:54:38.113262,1
吉舎,きさ,広島県,3,福塩（ふくえん）線,2017-02-02 14:44:57.350506,2017-02-14 13:54:58.051761,1
万能倉,まなぐら,広島県,4,福塩線,2017-02-02 14:44:57.379095,2017-02-14 13:55:10.141948,1
向洋,むかいなだ,広島県,3,山陽本線,2017-02-02 14:44:57.393145,2017-02-14 13:55:21.986429,1
青海島,おうみしま,山口県,2,海食崖と石柱の地。,2017-02-02 14:44:57.444932,2017-02-14 13:55:32.961605,1
周防灘,すおうなだ,山口県,3,瀬戸内海最西部の海域。,2017-02-02 14:44:57.468128,2017-02-14 13:55:41.105425,1
厚保,あつ,山口県,2,美祢線,2017-02-02 14:44:57.501158,2017-02-14 13:55:51.929439,1
幡生,はたぶ,山口県,2,山陽本線,2017-02-02 14:44:57.532334,2017-02-14 13:56:15.544294,1
西麻植,にしおえ,徳島県,3,徳島線,2017-02-02 14:44:57.637015,2017-02-14 13:59:34.546659,1
王余魚谷,かれいだに,徳島県,5,轟の滝で有名。,2017-02-02 14:44:57.573008,2017-02-14 13:58:30.873602,1
鮎喰,あくい,徳島県,4,徳島線,2017-02-02 14:44:57.586077,2017-02-14 13:58:42.510741,1
大歩危,おおぼけ,徳島県,2,吉野川上流の渓谷。,2017-02-02 14:44:57.561006,2017-02-14 13:58:59.116413,1
小歩危,こぼけ,徳島県,2,土讃（どさん）線。,2017-02-02 14:44:57.61412,2017-02-14 13:59:24.475169,1
橅養,むや,徳島県,3,鳴門（なると）線,2017-02-02 14:44:57.649178,2017-02-14 13:59:45.547749,1
寒霞渓,かんかけい,香川県,2,小豆島の渓谷。,2017-02-02 14:44:57.653144,2017-02-14 13:59:53.602416,1
神前,かんざき,香川県,2,高徳（こうとく）線,2017-02-02 14:44:57.685943,2017-02-14 14:01:19.655446,1
塩飽諸島,しわくしょとう,香川県,3,水運の要地。,2017-02-02 14:44:57.66582,2017-02-14 14:00:22.425803,1
美霞洞,みかど,香川県,2,山間にわく温泉。,2017-02-02 14:44:57.670989,2017-02-14 14:00:53.431382,1
挿頭丘,かざしがおか,香川県,3,高松琴平電鉄琴平線,2017-02-02 14:44:57.68182,2017-02-14 14:01:01.102288,1
面河渓,おもごけい,愛媛県,3,断崖と奇岩の名勝地。,2017-02-02 14:44:57.694523,2017-02-14 14:01:39.936802,1
高瀑渓,たかたるけい,愛媛県,2,国定公園内の渓谷。,2017-02-02 14:44:57.698899,2017-02-14 14:01:58.663717,1
滑床,なめとこ,愛媛県,2,滝と淵が続く渓谷。,2017-02-02 14:44:57.707164,2017-02-14 14:02:09.172111,1
伊予出石,いよいずし,愛媛県,3,予讃線,2017-02-02 14:44:57.722526,2017-02-14 14:02:29.001514,1
宿毛,すくも,高知県,3,縄文後期の貝塚がある。,2017-02-02 14:44:57.755777,2017-02-14 14:02:58.597377,1
吾桑,あそう,高知県,2,土讃（どさん）線,2017-02-02 14:44:57.76467,2017-02-14 14:03:08.717736,1
甲浦,かんのうら,高知県,2,阿佐海岸鉄道,2017-02-02 14:44:57.785568,2017-02-14 14:04:00.739622,1
穴生,あのお,福岡県,3,筑豊（ちくほう）電鉄,2017-02-02 14:44:57.806517,2017-02-14 14:06:27.315462,1
薊野,あぞうの,高知県,3,土讃線,2017-02-02 14:44:57.768698,2017-02-14 14:03:38.372914,1
永犬丸,えいのまる,福岡県,3,筑豊電鉄,2017-02-02 14:44:57.812908,2017-02-14 14:05:52.857638,1
浮鞭,うきぶち,高知県,3,土佐くろしお鉄道,2017-02-02 14:44:57.774933,2017-02-14 14:06:09.125284,1
香春,かわら,福岡県,3,日田彦山線,2017-02-02 14:44:57.856456,2017-02-14 14:06:45.411658,1
朽網,くさみ,福岡県,3,日豊本線,2017-02-02 14:44:57.864877,2017-02-14 14:07:19.138824,1
企救丘,きくがおか,福岡県,5,北九州高速鉄道,2017-02-02 14:44:57.860957,2017-02-14 14:07:09.068162,1
筑前垣生,ちくぜんはぶ,福岡県,2,筑豊本線,2017-02-02 14:44:57.871648,2017-02-14 14:07:29.222561,1
築城,ついき,福岡県,3,日豊本線,2017-02-02 14:44:57.8817,2017-02-14 14:07:44.96816,1
神集島,かしわじま,佐賀県,3,神を集めた伝説が残っている。,2017-02-02 14:44:57.908006,2017-02-14 14:08:19.700669,1
糒,ほしい,福岡県,4,平成筑豊鉄道,2017-02-02 14:44:57.893021,2017-02-14 14:08:03.177951,1
馬渡島,まだらしま,佐賀県,4,玄武岩の大地からなる。,2017-02-02 14:44:57.927934,2017-02-14 14:08:40.464331,1
厳木,きゅうらぎ,佐賀県,4,唐津線,2017-02-02 14:44:57.931547,2017-02-14 14:08:48.264511,1
黒川,くろごう,佐賀県,3,松浦鉄道,2017-02-02 14:44:57.934654,2017-02-14 14:08:56.195453,1
鳥栖,とす,佐賀県,2,長崎本線。レシーブ！トス！アタック！！,2017-02-02 14:44:57.9402,2017-02-14 14:09:05.213643,1
浅茅湾,あそうわん,長崎県,2,国定公園内の湾。,2017-02-02 14:44:57.944699,2017-02-14 14:09:17.785349,1
生月島,いきつきしま,長崎県,1,国立公園内の島。,2017-02-02 14:44:57.94818,2017-02-02 14:44:57.94818,1
真申,まさる,長崎県,1,松浦鉄道。すごいよ真申さん♪,2017-02-02 14:44:57.974195,2017-02-02 14:44:57.974195,1
蘇陽峡,そようきょう,熊本県,1,阿蘇外輪山の峡谷。,2017-02-02 14:44:57.990114,2017-02-02 14:44:57.990114,1
通潤橋,つうじゅんきょう,熊本県,1,石像のアーチ橋。,2017-02-02 14:44:58.000881,2017-02-02 14:44:58.000881,1
木上,きのえ,熊本県,1,くま川鉄道,2017-02-02 14:44:58.007511,2017-02-02 14:44:58.007511,1
田原坂,たばるざか,熊本県,1,鹿児島本線,2017-02-02 14:44:58.014661,2017-02-02 14:44:58.014661,1
向之原,むかいのはる,大分県,1,久大（きゅうだい）本線,2017-02-02 14:44:58.054045,2017-02-02 14:44:58.054045,1
暘谷,ようこく,大分県,1,日豊本線,2017-02-02 14:44:58.063091,2017-02-02 14:44:58.063091,1
西都原,さいとばる,宮崎県,1,三百以上の古墳が分布。,2017-02-02 14:44:58.101337,2017-02-02 14:44:58.101337,1
隼人塚,はやとづか,鹿児島県,1,国指定の史跡。,2017-02-02 14:44:58.147757,2017-02-02 14:44:58.147757,1
日当山,ひなたやま,鹿児島県,1,肥薩（ひさつ）線,2017-02-02 14:44:58.166522,2017-02-02 14:44:58.166522,1
西表島,いりおもてじま,沖縄県,1,サンゴ礁と西表山猫で有名。,2017-02-02 14:44:58.174061,2017-02-02 14:44:58.174061,1
摩文仁,まぶに,沖縄県,1,平和の礎がある戦跡。,2017-02-02 14:44:58.193032,2017-02-02 14:44:58.193032,1
先斗町,ぽんとちょう,京都府,5,京都の繁華街、四条にある街。先の呼び方がポイント。,2017-02-02 14:51:04.078127,2017-02-02 14:51:04.078127,1
愛冠,あいかっぷ,北海道,3,北海道ちほく高原鉄道ふるさと銀河線,2017-02-02 14:44:53.314258,2017-02-02 14:58:19.520265,1
今帰仁城,なきじんじょう,沖縄県,3,連郭式の城跡。,2017-02-02 14:44:58.185992,2017-02-02 15:02:34.903461,1
大甕,おおみか,茨城県,4,常磐（じょうばん）線,2017-02-02 14:44:54.276584,2017-02-03 08:37:32.196083,1
中城城,なかぐすくじょう,沖縄県,2,石造り建築の城跡。,2017-02-02 14:44:58.180711,2017-02-02 15:02:58.488183,3
頴娃,えい,鹿児島県,3,指宿枕崎（いぶすきまくらざき）線,2017-02-02 14:44:58.151913,2017-02-02 15:03:18.110953,1
木場茶屋,こばんちゃや,鹿児島県,3,鹿児島本線,2017-02-02 14:44:58.159589,2017-02-02 15:03:29.741444,2
生見,ぬくみ,鹿児島県,2,指宿枕崎（いぶすきまくらざき）線,2017-02-02 14:44:58.162985,2017-02-02 15:03:37.95081,1
甑列島,こしきれっとう,鹿児島県,3,全島がリアス式海岸。,2017-02-02 14:44:58.143191,2017-02-02 15:03:47.735845,1
榎原,よわら,宮崎県,3,日南線,2017-02-02 14:44:58.12551,2017-02-02 15:03:59.079789,1
韓国岳,からくにだけ,鹿児島県,1,霧島火山群の最高峰。,2017-02-02 14:44:58.135031,2017-02-02 15:04:13.067892,2
川水流,かわずる,宮崎県,1,高千穂（たかちほ）鉄道,2017-02-02 14:44:58.115048,2017-02-02 15:04:28.275035,3
餅原,もちばる,宮崎県,1,日豊（にっぽう）本線,2017-02-02 14:44:58.11945,2017-02-02 15:04:40.992046,4
狗留孫峡,くるそんきょう,宮崎県,3,奇岩が並ぶ。,2017-02-02 14:44:58.090064,2017-02-02 15:05:14.728686,1
飫肥,おび,宮崎県,2,伊東氏五万石の旧城下町。,2017-02-02 14:44:58.077081,2017-02-02 15:05:27.77289,1
国東,くにさき,大分県,2,海水浴場や遺跡がある。,2017-02-02 14:44:58.036309,2017-02-02 15:05:42.734548,3
万年山,はねやま,大分県,2,二重の溶岩台地。,2017-02-02 14:44:58.040703,2017-02-02 15:05:51.561896,1
駅館川,やっかんがわ,大分県,4,流域に遺跡が分布。,2017-02-02 14:44:58.044505,2017-02-02 15:06:01.378807,1
浅海井,あざむい,大分県,3,日豊（にっぽう）本戦,2017-02-02 14:44:58.048363,2017-02-02 15:06:17.673636,3
鉄輪温泉,かんなわおんせん,大分県,3,鶴見八湯のひとつ。,2017-02-02 14:44:58.026874,2017-02-02 15:06:25.567702,1
安心院,あじむ,大分県,4,ブドウが特産品。,2017-02-02 14:44:58.023047,2017-02-02 15:06:37.792697,2
八景水谷,はけのみや,熊本県,3,熊本電鉄菊池線,2017-02-02 14:44:58.018757,2017-02-02 15:06:51.016898,1
暗峠,くらがりとうげ,大阪府,2,石仏の残る古道。,2017-02-02 14:44:56.248705,2017-02-02 15:09:01.32814,3
